date,day_of_week,attendance,meals_prepared,meals_consumed,waste,is_holiday,is_exam_day,is_event_day
2026-03-01,Sunday,138,139,128,11,0,0,0
2026-03-02,Monday,437,409,389,20,0,0,0
2026-03-03,Tuesday,483,476,426,50,0,0,0
2026-03-04,Wednesday,463,456,431,25,0,0,0
2026-03-05,Thursday,436,424,392,32,0,0,0
2026-03-06,Friday,376,389,341,48,0,0,0
2026-03-07,Saturday,211,202,189,13,0,0,0
2026-03-08,Sunday,135,135,122,13,0,0,0
2026-03-09,Monday,441,422,404,18,0,0,0
2026-03-10,Tuesday,429,414,393,21,0,0,0
2026-03-11,Wednesday,439,434,404,30,0,0,0
2026-03-12,Thursday,439,421,390,31,0,0,0
2026-03-13,Friday,399,419,359,60,0,0,0
2026-03-14,Saturday,208,200,190,10,0,0,0
2026-03-15,Sunday,143,134,127,7,0,0,0
2026-03-16,Monday,51,49,45,4,1,0,0
2026-03-17,Tuesday,428,425,398,27,0,0,0
2026-03-18,Wednesday,437,425,392,33,0,0,0
2026-03-19,Thursday,450,445,398,47,0,0,0
2026-03-20,Friday,378,396,350,46,0,0,0
2026-03-21,Saturday,248,241,230,11,0,0,0
2026-03-22,Sunday,146,139,132,7,0,0,0
2026-03-23,Monday,445,418,400,18,0,0,0
2026-03-24,Tuesday,472,452,424,28,0,0,0
2026-03-25,Wednesday,464,467,433,34,0,0,0
2026-03-26,Thursday,627,648,556,92,0,0,1
2026-03-27,Friday,526,567,487,80,0,0,1
2026-03-28,Saturday,257,251,234,17,0,0,0
2026-03-29,Sunday,131,128,118,10,0,0,0
2026-03-30,Monday,434,430,406,24,0,0,0
2026-03-31,Tuesday,481,450,430,20,0,0,0
2026-04-01,Wednesday,440,416,395,21,0,0,0
2026-04-02,Thursday,461,452,428,24,0,0,0
2026-04-03,Friday,390,426,364,62,0,0,0
2026-04-04,Saturday,217,208,194,14,0,0,0
2026-04-05,Sunday,124,128,115,13,0,0,0
2026-04-06,Monday,440,421,398,23,0,0,0
2026-04-07,Tuesday,450,426,399,27,0,0,0
2026-04-08,Wednesday,447,446,407,39,0,0,0
2026-04-09,Thursday,452,456,408,48,0,0,0
2026-04-10,Friday,350,350,314,36,0,0,0
2026-04-11,Saturday,229,227,210,17,0,0,0
2026-04-12,Sunday,126,121,112,9,0,0,0
2026-04-13,Monday,445,443,418,25,0,0,0
2026-04-14,Tuesday,475,467,425,42,0,0,0
2026-04-15,Wednesday,463,456,418,38,0,0,0
2026-04-16,Thursday,455,446,403,43,0,0,0
2026-04-17,Friday,424,431,381,50,0,0,0
2026-04-18,Saturday,231,222,213,9,0,0,0
2026-04-19,Sunday,120,115,109,6,0,0,0
2026-04-20,Monday,420,414,387,27,0,0,0
2026-04-21,Tuesday,463,455,433,22,0,0,0
2026-04-22,Wednesday,435,452,407,45,0,0,0
2026-04-23,Thursday,439,429,393,36,0,0,0
2026-04-24,Friday,389,403,355,48,0,0,0
2026-04-25,Saturday,253,249,224,25,0,0,0
2026-04-26,Sunday,134,129,121,8,0,0,0
2026-04-27,Monday,454,466,419,47,0,0,0
2026-04-28,Tuesday,459,442,422,20,0,0,0
2026-04-29,Wednesday,456,451,406,45,0,0,0
2026-04-30,Thursday,404,375,356,19,0,1,0
2026-05-01,Friday,335,363,306,57,0,1,0
2026-05-02,Saturday,189,184,174,10,0,1,0
2026-05-03,Sunday,141,140,127,13,0,0,0
2026-05-04,Monday,410,409,377,32,0,1,0
2026-05-05,Tuesday,415,394,368,26,0,1,0
2026-05-06,Wednesday,391,393,367,26,0,1,0
2026-05-07,Thursday,388,395,362,33,0,1,0
2026-05-08,Friday,346,368,316,52,0,1,0
2026-05-09,Saturday,228,223,203,20,0,1,0
2026-05-10,Sunday,110,115,103,12,0,0,0
2026-05-11,Monday,403,403,377,26,0,1,0
2026-05-12,Tuesday,416,432,390,42,0,1,0
2026-05-13,Wednesday,403,388,362,26,0,1,0
2026-05-14,Thursday,393,380,350,30,0,1,0
2026-05-15,Friday,400,444,374,70,0,0,0
2026-05-16,Saturday,214,219,196,23,0,0,0
2026-05-17,Sunday,132,127,117,10,0,0,0
2026-05-18,Monday,446,451,411,40,0,0,0
2026-05-19,Tuesday,465,446,419,27,0,0,0
2026-05-20,Wednesday,55,58,51,7,1,0,0
2026-05-21,Thursday,454,446,413,33,0,0,0
2026-05-22,Friday,395,436,364,72,0,0,0
2026-05-23,Saturday,250,249,233,16,0,0,0
2026-05-24,Sunday,116,111,106,5,0,0,0
2026-05-25,Monday,435,428,395,33,0,0,0
2026-05-26,Tuesday,467,430,412,18,0,0,0
2026-05-27,Wednesday,420,417,390,27,0,0,0
2026-05-28,Thursday,446,437,413,24,0,0,0
2026-05-29,Friday,365,375,335,40,0,0,0
2026-05-30,Saturday,230,229,210,19,0,0,0
2026-05-31,Sunday,118,122,109,13,0,0,0
2026-06-01,Monday,403,397,374,23,0,0,0
2026-06-02,Tuesday,458,434,415,19,0,0,0
2026-06-03,Wednesday,459,437,415,22,0,0,0
2026-06-04,Thursday,460,434,409,25,0,0,0
2026-06-05,Friday,416,437,383,54,0,0,0
2026-06-06,Saturday,237,244,222,22,0,0,0
2026-06-07,Sunday,168,161,152,9,0,0,0
2026-06-08,Monday,458,455,413,42,0,0,0
2026-06-09,Tuesday,462,440,420,20,0,0,0
2026-06-10,Wednesday,463,454,421,33,0,0,0
2026-06-11,Thursday,440,434,398,36,0,0,0
2026-06-12,Friday,362,370,332,38,0,0,0
2026-06-13,Saturday,255,257,232,25,0,0,0
2026-06-14,Sunday,104,101,96,5,0,0,0
2026-06-15,Monday,443,425,391,34,0,0,0
2026-06-16,Tuesday,444,452,416,36,0,0,0
2026-06-17,Wednesday,478,470,434,36,0,0,0
2026-06-18,Thursday,422,423,395,28,0,0,0
2026-06-19,Friday,525,531,464,67,0,0,1
2026-06-20,Saturday,298,300,277,23,0,0,1
2026-06-21,Sunday,119,116,106,10,0,0,0
2026-06-22,Monday,455,464,418,46,0,0,0
2026-06-23,Tuesday,469,444,421,23,0,0,0
2026-06-24,Wednesday,461,471,426,45,0,0,0
2026-06-25,Thursday,444,442,401,41,0,0,0
2026-06-26,Friday,387,422,348,74,0,0,0
2026-06-27,Saturday,226,230,209,21,0,0,0
2026-06-28,Sunday,149,147,132,15,0,0,0
2026-06-29,Monday,463,462,416,46,0,0,0
2026-06-30,Tuesday,455,428,411,17,0,0,0
2026-07-01,Wednesday,455,463,426,37,0,0,0
2026-07-02,Thursday,442,437,406,31,0,0,0
2026-07-03,Friday,366,402,337,65,0,0,0
2026-07-04,Saturday,208,213,193,20,0,0,0
2026-07-05,Sunday,129,124,114,10,0,0,0
2026-07-06,Monday,423,426,383,43,0,0,0
2026-07-07,Tuesday,440,430,391,39,0,0,0
2026-07-08,Wednesday,444,427,407,20,0,0,0
2026-07-09,Thursday,449,439,397,42,0,0,0
2026-07-10,Friday,375,387,346,41,0,0,0
2026-07-11,Saturday,203,211,189,22,0,0,0
2026-07-12,Sunday,104,108,98,10,0,0,0
2026-07-13,Monday,427,430,396,34,0,0,0
2026-07-14,Tuesday,451,454,408,46,0,0,0
2026-07-15,Wednesday,449,426,395,31,0,0,0
2026-07-16,Thursday,426,395,376,19,0,0,0
2026-07-17,Friday,390,424,361,63,0,0,0
2026-07-18,Saturday,215,216,202,14,0,0,0
2026-07-19,Sunday,56,57,50,7,1,0,0
2026-07-20,Monday,432,425,380,45,0,0,0
2026-07-21,Tuesday,459,440,406,34,0,0,0
2026-07-22,Wednesday,450,457,422,35,0,0,0
2026-07-23,Thursday,471,466,427,39,0,0,0
2026-07-24,Friday,402,445,368,77,0,0,0
